Time Bucket (America/Chicago),Vue-Mains_A (kWatts),Vue-Mains_B (kWatts),Vue-Mains_C (kWatts),Vue-Cooktop/Range/Oven/Stove-Oven 4 (kWatts),Vue-Air Conditioner-AC Up Aux Heat - 8 (kWatts),Vue-Air Conditioner-AC Down Compressor - 10 (kWatts),Vue-Cooktop/Range/Oven/Stove-Stove 16 (kWatts),Vue-Dishwasher-Dishwasher 24 (kWatts),Vue-Kitchen-Kitchen 26 (kWatts),Vue-Fridge/Freezer-Refrigerator (kWatts),Vue-Room/Multi-use Circuit-Annie Marie's Room (kWatts),Vue-Water Heater-Water Heater 19 (kWatts),Vue-Air Conditioner-AC Up Compressor - 11 (kWatts),Vue-Air Conditioner-AC Up Air Handler - 7 (kWatts),Vue-Air Conditioner-AC Down Air Handler - 3 (kWatts),Vue-Garage/Shop/Barn/Shed-Garage 35 (kWatts),Vue-Computer/Network-Gym 39 (kWatts),Vue-Computer/Network-Bruno Office 34 (kWatts),Vue-Air Conditioner-AC Down Aux Heat - 15 (kWatts)
06/04/2026 05:28:47,4.0387,4.1870,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0695,3.7461,2.5041,0.2952,0.0194,0.0279,0.1624,0.1413,0.0000
06/04/2026 05:28:48,4.0419,4.1895,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0697,3.7482,2.5055,0.2957,0.0207,0.0285,0.1636,0.1434,0.0000
06/04/2026 05:28:49,4.0377,4.1904,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,3.7464,2.5033,0.2957,0.0195,0.0282,0.1610,0.1493,0.0000
06/04/2026 05:28:50,4.0197,4.1681,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0665,3.7223,2.4943,0.2908,0.0187,0.0280,0.1613,0.1434,0.0000
06/04/2026 05:28:51,4.0411,4.1961,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0706,3.7480,2.5056,0.2969,0.0000,0.0290,0.1614,0.1461,0.0000
06/04/2026 05:28:52,4.0415,4.1905,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0680,3.7473,2.5048,0.2946,0.0173,0.0289,0.1625,0.1421,0.0000
06/04/2026 05:28:53,4.0336,4.1873,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0690,3.7440,2.5010,0.2963,0.0201,0.0285,0.1625,0.1448,0.0000
06/04/2026 05:28:54,4.0325,4.1801,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0698,3.7394,2.5004,0.2967,0.0185,0.0280,0.1623,0.1415,0.0000
06/04/2026 05:28:55,4.0304,4.1870,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0698,3.7386,2.5018,0.2957,0.0184,0.0275,0.1622,0.1498,0.0000
06/04/2026 05:28:56,4.0367,4.1903,No CT,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.0704,3.7411,2.5017,0.2953,0.0205,0.0287,0.1623,0.1465,0.0000
06/04/2026 05:28:57,4.0381,4.1879,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,3.7462,2.5042,0.2944,0.0180,0.0277,0.1614,0.1445,0.0000
